name,size_category,description,male_min_height_cm,male_max_height_cm,male_min_weight_kg,male_max_weight_kg,female_min_height_cm,female_max_height_cm,female_min_weight_kg,female_max_weight_kg,life_expectancy_years,energy_level,grooming_needs,shedding_level,trainability,barking_level,good_with_children,good_with_other_dogs,good_with_strangers,exercise_needs_minutes,dietary_needs,health_issues,care_instructions,special_considerations
Labrador Retriever,large,"Friendly and outgoing, Labs are high-spirited companions who have more than enough affection to go around for a family looking for a medium-to-large dog",57,62,29,36,55,60,25,32,12,7,4,5,9,4,true,true,true,90,"High-quality protein diet with joint supplements","Hip dysplasia, elbow dysplasia, eye problems, exercise induced collapse","Regular brushing, especially during shedding seasons. Needs daily exercise and mental stimulation.","Prone to weight gain, needs portion control"
German Shepherd,large,"Intelligent and versatile working dog, known for their loyalty and courage",60,65,30,40,55,60,22,32,11,8,6,7,9,6,true,true,false,120,"High-protein diet with joint supplements","Hip dysplasia, elbow dysplasia, bloat","Regular brushing, consistent training and exercise needed","Strong protective instincts, needs early socialization"
Golden Retriever,large,"Intelligent, friendly, and devoted sporting dog",58,61,29,34,55,57,25,29,11,6,5,6,9,3,true,true,true,60,"Quality protein diet with omega fatty acids","Hip dysplasia, cancer, heart problems","Regular grooming, moderate exercise needed","Prone to weight gain, needs mental stimulation"
French Bulldog,small,"Adaptable, playful, and smart companion with a charming personality",28,33,9,13,28,33,8,12,11,4,3,2,6,3,true,true,true,30,"Moderate protein diet, watch calorie intake","Brachycephalic syndrome, hip dysplasia, spine problems","Regular face fold cleaning, moderate exercise","Temperature sensitive, cannot swim well"
Bulldog,medium,"Kind, courageous, and friendly with a calm demeanor",36,40,23,25,36,40,22,23,8,3,3,3,6,2,true,true,true,30,"Low-calorie diet to prevent obesity","Brachycephalic issues, hip dysplasia, skin fold dermatitis","Daily wrinkle cleaning, moderate exercise only","Heat sensitive, prone to overheating"
Poodle (Standard),large,"Elegant, intelligent, and versatile sporting dog",60,63,20,32,55,60,20,27,12,7,9,1,9,4,true,true,true,60,"High-quality protein diet","Hip dysplasia, eye problems, bloat","Professional grooming needed, daily brushing","Highly intelligent, needs mental stimulation"
Beagle,medium,"Merry, friendly, and curious hound with a great nose",36,41,9,11,33,38,8,10,13,7,3,5,6,8,true,true,true,60,"Controlled portions to prevent obesity","Cherry eye, hip dysplasia, epilepsy","Regular ear cleaning, secure fencing needed","Strong hunting instincts, prone to following scents"
Rottweiler,large,"Loyal, loving, and confident guardian breed",61,69,43,61,56,63,36,45,10,6,4,4,8,3,true,false,false,120,"High-protein diet with joint supplements","Hip dysplasia, heart problems, bloat","Regular exercise and training needed","Strong protective instincts, needs firm training"
German Shorthaired Pointer,large,"Versatile hunter and athletic companion",58,64,25,32,53,59,20,27,12,9,4,5,9,5,true,true,true,120,"High-energy performance diet","Hip dysplasia, eye problems","Regular exercise and mental stimulation","High exercise needs, strong hunting instincts"
Yorkshire Terrier,small,"Feisty, brave, and determined small companion",20,23,3.2,3.6,20,23,2.7,3.2,13,7,8,3,7,7,true,true,true,30,"Small breed formula, frequent meals","Patellar luxation, dental issues","Professional grooming needed","Delicate, needs dental care"
Boxer,large,"Fun-loving, bright, and active family companion",57,63,30,32,53,60,25,27,10,8,3,3,7,3,true,true,true,90,"High-quality protein diet","Heart problems, hip dysplasia, cancer","Moderate exercise, basic grooming","Heat sensitive, prone to drooling"
Dachshund,small,"Clever, spunky, and curious with a big-dog bark",20,23,7,15,20,23,7,15,13,5,3,3,7,8,true,true,false,30,"Weight control important","Back problems, dental issues","Prevent jumping, maintain healthy weight","Back injury prone, needs ramp for furniture"
Great Dane,giant,"Friendly giant known for gentle temperament",76,86,54,90,71,81,45,59,8,5,2,4,7,4,true,true,true,60,"Large breed formula with joint supplements","Bloat, hip dysplasia, heart problems","Moderate exercise, joint care important","Short lifespan, prone to bloat"
Doberman Pinscher,large,"Intelligent, alert, and loyal protection dog",66,71,34,45,61,66,29,40,11,8,3,4,9,4,true,true,false,120,"High-protein athletic diet","DCM, von Willebrand's disease","Regular exercise and training","Strong protective instincts"
Australian Shepherd,medium,"Intelligent, work-oriented herding dog",51,58,25,29,46,53,18,25,13,9,6,7,9,6,true,true,false,120,"High-protein working dog diet","Hip dysplasia, eye problems, epilepsy","Regular brushing, extensive exercise","High exercise needs, strong herding instinct"
Siberian Husky,medium,"Friendly, mischievous, and outgoing working dog",53,60,20,27,50,56,16,23,12,8,5,8,6,5,true,true,true,120,"High-protein endurance diet","Hip dysplasia, eye problems","Regular brushing, secure fencing","High prey drive, escape artist"
Bernese Mountain Dog,large,"Good-natured, calm, and strong working dog",64,70,38,50,58,66,36,46,8,5,7,8,7,3,true,true,true,60,"Large breed formula with joint support","Hip dysplasia, cancer","Regular grooming, moderate exercise","Short lifespan, heat sensitive"
Pomeranian,small,"Lively, bold, and inquisitive companion",20,23,1.8,3.5,20,23,1.8,3.5,12,6,7,6,6,7,true,true,false,30,"Small breed formula, frequent meals","Patellar luxation, tracheal collapse","Regular grooming, dental care","Delicate, needs dental attention"
Shih Tzu,small,"Affectionate, playful, and outgoing companion",20,28,4,7,20,28,4,7,13,4,8,3,6,3,true,true,true,30,"Small breed formula","Eye problems, respiratory issues","Daily grooming, face cleaning","Brachycephalic breed care"
Border Collie,medium,"Intelligent, athletic, and agile herding dog",48,56,14,20,46,53,12,19,13,9,5,6,10,5,true,true,false,120,"High-energy performance diet","Hip dysplasia, eye problems, epilepsy","Regular exercise and mental stimulation","Extremely high exercise needs"
Goldendoodle,large,"Friendly, intelligent, and highly adaptable hybrid breed combining the best traits of Golden Retrievers and Poodles",53,66,25,34,51,61,22,30,12,7,8,2,9,3,true,true,true,60,"High-quality protein diet with joint support","Hip dysplasia, eye problems, ear infections, von Willebrand's disease","Regular professional grooming every 6-8 weeks, daily brushing to prevent matting","Low-shedding but high-maintenance coat, needs early socialization and training"</content>